ə
eɪ
eɪ z
eɪ
eɪ z
eɪ z
eɪ f ɔː
uː eɪ t
t ɹ ɪ
ə l eɪ
ɑː b ə
ə ɹ ɡ
ɑː k ə
k ə n
ɑː k ə
n ə ɹ
ɑː k ə
k ə ɹ
ɑː l s
s ɛ θ
ɑː m ə
m ə t
ɑː n k
k ɔː ɹ
ɑː ɹ d
ɛ m ə
ɑː ɹ d
ɑː ɹ k
ɛ ɹ ə
ɹ ə n
ɛ ɹ ə
ə n z
ɛ ɹ ə
ə n z
ɛ ɹ ə
s ə n
ɑː ɹ ə
s ə n
ɛ ɹ ə
ə n z
ɑː ɹ ə
ə n z
ɑː ɹ t
ɹ t iː
ɑː s
ɑː s ə
s ə n
æ b
eɪ b iː
ə b ɑː
ɑː b ə
ɑː b ə
ə b ə
æ b ə
ə k ə
ə b æ
b æ k
æ b ə
ə k oʊ
æ b ə
k ə s
ə b ɑː
b ɑː d
ə b æ
ə k ə
ə b æ
æ d iː
ə b æ
æ d iː
ə b ɛ
b ɛ ɹ
ə b ɑː
k ɪ n
æ b ə
oʊ n iː
ɑː b ɑː
l oʊ z
ə b æ
d ə n
ə b æ
ə n d
ə b æ
n ɪ ŋ
ə b æ
ə n t
ə b æ
n t s
ə b æ
ə n z
ə b æ
n t oʊ
ə b ɑː
ɹ k ə
ɑː b ɑː
ɑː ɹ iː
æ b ə
k ə l
ə b æ
b æ ʃ
ə b æ
æ ʃ t
ə b eɪ
ʒ j ə
ə b eɪ
b eɪ t
ə b eɪ
t ɪ d
ə b eɪ
ə n t
ə b eɪ
n t s
ə b eɪ
eɪ t s
ə b eɪ
t ɪ ŋ
æ b ə
ə b ɑː
ɑː d oʊ
ə b ɑː
b ɑː s
ɑː b ɑː
ɑː s iː
ɑː b eɪ
b eɪ t
ɑː b ɑː
ɛ l oʊ
æ b iː
æ b eɪ
æ b ə
h aʊ s
ə b ɛ
b ɛ t
æ b v
v ɪ l
æ b iː
æ b iː
b iː z
æ b iː
æ b ɪ
b ɪ t
æ b ə
b ə t
æ b ə
t aʊ n
æ b ə
b ə t
æ b ə
ə t s
æ b ə
t aʊ n
ə b uː
b uː d
ə b aʊ
b aʊ d
ə b ɹ
iː eɪ t
ə b ɹ
t ə d
ə b ɹ
t ɪ d
ə b ɹ
eɪ t s
ə b ɹ
t ɪ ŋ
ə b ɹ
ʃ ə n
ə b ɹ
ə n z
ɑː b ɹ
eɪ z iː
æ b z
æ b iː
æ b k
b k oʊ
æ b k
t ɛ k
æ b d
æ l ə
æ b d
æ l ə
æ b d
d ɛ l
æ b d
ɛ l ə
æ b d
k eɪ t
æ b d
t ə d
æ b d
eɪ t s
æ b d
t ɪ ŋ
æ b d
ʃ ə n
æ b d
n ə ɹ
æ b d
b d oʊ
æ b d
ɑː l ə
æ b d
m ə n
æ b d
m ə n
æ b d
n ə l
ə b d
n ə l
æ b d
ʌ k t
æ b d
t ɪ d
ə b d
t ɪ d
æ b d
k t iː
æ b d
t iː z
æ b d
t ɪ ŋ
ə b d
t ɪ ŋ
æ b d
ʃ ə n
ə b d
ʃ ə n
æ b d
ə n z
ə b d
ə n z
æ b d
t ə ɹ
ə b d
t ə ɹ
æ b d
ə ɹ z
ə b d
ə ɹ z
æ b d
k t s
æ b d
d uː l
æ b d
z iː z
ɑː b d
uː l ə
æ b d
ʌ l ə
eɪ b
ə b ɛ
b ɛ d
ə b ɛ
ɛ d iː
ə b iː
eɪ b ə
b ə l
ɑː b ɛ
ɛ l ə
æ b ɪ
ə ɹ d
ə b ɛ
b ɛ l
ə b ɛ
ɛ l z
eɪ b ə
l iː z
eɪ b ə
b ə l
ə b ɛ
ɛ l ə
æ b ɪ
ɪ l n
æ b ə
ə l oʊ
eɪ b ə
ə l z
æ b ɪ
s ə n
æ b ɛ
ɛ n d
ə b ɛ
ɛ n d
æ b ɪ
ɹ ɔː θ
eɪ b ə
b ə ɹ
æ b ə
m b iː
æ b ə
d iː n
eɪ b ə
ə ɹ d
æ b ə
ə ɹ ɡ
æ b ə
ɹ ə l
æ b ə
ə ɹ l
æ b ə
m ɪ n
æ b ə
æ θ iː
æ b ə
ɛ θ iː
æ b ɛ
ə n t
æ b ə
ʃ ə n
æ b ə
n ə l
æ b ə
ə n z
æ b ə
ə ɹ t
ə b ɛ
b ɛ t
ə b ɛ
t ɪ d
ə b ɛ
t ɪ ŋ
eɪ b ɛ
ɛ k s
ə b eɪ
ə n s
ɑː b eɪ
eɪ t ə
æ b h
h ɔː ɹ
ə b h
ɔː ɹ d
ə b h
ə n s
æ b h
ə n t
ə b h
ɔː ɹ z
eɪ b iː
iː ə m
eɪ b iː
ə m z
eɪ b ɪ
b ɪ d
ə b aɪ
b aɪ d
ə b aɪ
d ɪ d
ə b aɪ
aɪ d z
ə b aɪ
d ɪ ŋ
æ b ɪ
dʒ ɑː n
æ b iː
æ b ə
ɡ eɪ l
ɑː b iː
iː l ə
æ b ɪ
l iː n
ə b ɪ
t iː z
ə b ɪ
ə t iː
æ b ɪ
m eɪ l
æ b ɪ
eɪ l z
æ b ɪ
d ə n
æ b ɪ
t ə n
ɑː b iː
b iː oʊ
ɑː b iː
oʊ l ə
ɑː b iː
l ə z
eɪ b iː
m ɛ d
ə b ɪ
k j uː
æ b ɪ
iː b iː
æ b ɪ
ɪ t s
æ b dʒ
ɛ k t
æ b k
z j ə
æ b k
z j ə
æ b k
iː ə n
æ b k
iː ə n
æ b k
j ə n
æ b k
j ə n
æ b k
ə n z
æ b k
ə n z
ə b l
l eɪ z
eɪ b ə
b ə l
eɪ b ə
d iː d
eɪ b ə
ə l d
eɪ b ə
l ə ɹ
eɪ b l
l ə ɹ
eɪ b ə
ə l z
eɪ b ə
l s t
eɪ b l
ə s t
ə b l
l uː m
eɪ b l
b l iː
æ b n
n ə ɹ
æ b n
b n iː
æ b n
m ə l
æ b n
t iː z
æ b n
ə t iː
æ b n
ə l iː
ɑː b oʊ
ɑː b oʊ
b oʊ z
ə b ɔː
ɔː ɹ d
ə b oʊ
b oʊ d
æ b ə
iː m ə
ə b ɑː
l ɪ ʃ
ə b ɑː
ɪ ʃ t
ə b ɑː
ʃ ɪ z
ə b ɑː
ʃ ɪ ŋ
æ b ə
ʃ ə n
æ b ə
z ə m
æ b ə
ə s t
æ b ə
s t s
æ b ə
n ə s
ə b ɑː
b ə l
ə b ɑː
ʃ ə n
ə b uː
b uː d
ə b uː
uː d iː
ə b ɔː
b ɔː ɹ
